game_date,player_name,card_min,card_inj_time
2020-01-11,Paul Mullin,40,0
2020-01-11,Peter Clarke,41,0
2020-01-11,Neil Danns,66,0
2020-01-11,Morgan Ferrier,84,0
2020-01-18,David Perkins,36,0
2020-01-18,Neil Danns,65,0
2020-01-18,Emmanuel Monthe,71,0
2020-01-23,Connor Jennings,55,0
2020-01-26,Scott Davies,55,0
2020-01-29,Emmanuel Monthe,74,0
2020-01-29,Kane Wilson,77,0
2020-01-29,Connor Jennings,90,0
2020-02-04,Andy Cook,90,3
2020-02-08,James Vaughan,31,0
2020-02-11,Morgan Ferrier,82,0
2020-02-11,Sid Nelson,88,0
2020-02-22,Luke McCullough,29,0
2020-02-22,Andy Cook,31,0
2020-02-22,Peter Clarke,66,0
2020-02-22,Scott Davies,90,1
2020-02-25,James Vaughan,27,0
2020-02-25,Kane Wilson,41,0
2020-02-25,Liam Ridehalgh,81,0
2020-03-07,Connor Jennings,34,0
2020-03-07,Liam Ridehalgh,79,0
2020-03-07,Scott Davies,88,0
2020-03-10,Alex Woodyard,24,0
2020-09-05,Jay Spearing,34,0
2020-09-08,Ollie Banks,23,0
2020-09-08,Calum MacDonald,74,0
2020-09-19,James Vaughan,44,0
2020-09-19,Paul Lewis,90,1
2020-09-29,Paul Lewis,38,0
2020-09-29,Calum MacDonald,65,0
2020-10-03,Kieron Morris,53,0
2020-10-03,Scott Davies,87,0
2020-10-10,Otis Khan,6,0
2020-10-10,Kieron Morris,45,1
2020-10-10,Paul Lewis,48,0
2020-10-17,Ollie Banks,21,0
2020-10-24,James Vaughan,84,0
2020-10-27,Sam Smith,55,0
2020-10-27,James Vaughan,60,0
2020-10-27,Calum MacDonald,79,0
2020-10-31,Otis Khan,50,0
2020-11-03,Emmanuel Monthe,65,0
2020-11-14,Scott Davies,45,2
2020-11-21,Emmanuel Monthe,79,0
2020-11-24,Emmanuel Monthe,54,0
2020-11-24,Paul Lewis,69,0
2020-12-01,Jay Spearing,16,0
2020-12-08,Sid Nelson,90,3
2020-12-12,Calum MacDonald,41,0
2020-12-12,Peter Clarke,62,0
2020-12-12,Scott Davies,74,0
2020-12-29,Liam Feeney,60,0
2020-12-29,James Vaughan,68,0
2021-01-13,Otis Khan,87,0
2021-01-16,Jay Spearing,65,0
2021-01-16,James Vaughan,90,1
2021-01-19,Scott Davies,87,0
2021-01-19,Morgan Ferrier,90,2
2021-01-23,Emmanuel Monthe,40,0
2021-01-23,Peter Clarke,57,0
2021-01-26,Calum MacDonald,57,0
2021-01-26,Paul Lewis,86,0
2021-01-26,James Vaughan,90,0
2021-01-30,Jay Spearing,65,0
2021-02-06,James Vaughan,90,3
2021-02-09,Jay Spearing,79,0
2021-02-16,Calum MacDonald,17,0
2021-02-16,Liam Feeney,90,1
2021-02-16,James Vaughan,90,6
2021-02-20,Peter Clarke,8,0
2021-02-20,Kaiyne Woolery,44,0
2021-02-20,Paul Lewis,90,4
2021-02-23,Paul Lewis,12,0
2021-02-27,James Vaughan,73,0
2021-02-27,Liam Feeney,90,5
2021-03-02,Jay Spearing,79,0
2021-03-02,Danny Lloyd,90,3
2021-03-06,Peter Clarke,14,0
2021-03-17,Corey Blackett-Taylor,47,0
2021-03-17,Liam Ridehalgh,71,0
2021-03-20,Paul Lewis,74,0
2021-03-23,Otis Khan,50,0
2021-03-27,Jay Spearing,59,0
2021-03-27,Otis Khan,89,0
2021-04-02,Lee O'Connor,45,3
2021-04-05,Peter Clarke,60,0
2021-04-05,Paul Lewis,79,0
2021-04-10,Calum MacDonald,42,0
2021-04-13,Jay Spearing,49,0
2021-04-13,Paul Lewis,78,0
2021-04-13,James Vaughan,90,4
2021-04-17,Kaiyne Woolery,34,0
2021-04-17,Otis Khan,36,0
2021-04-20,Kaiyne Woolery,19,0
2021-04-20,Danny Lloyd,45,3
2021-04-20,Paul Lewis,45,6
2021-04-24,Peter Clarke,82,0
2021-05-08,Otis Khan,55,0
2021-05-20,Jay Spearing,54,0
2021-05-20,James Vaughan,78,0
2021-05-20,Danny Lloyd,83,0
2021-05-20,Lee O'Connor,89,0
